Datetime,Open,High,Low,Close,Adj Close,Volume
2024-03-18 13:53:00+08:00,16760.189453125,16762.23046875,16755.75,16758.25,16758.25,0
2024-03-18 13:54:00+08:00,16758.08984375,16762.380859375,16754.630859375,16761.0703125,16761.0703125,0
2024-03-18 13:55:00+08:00,16762.58984375,16768.009765625,16760.369140625,16762.25,16762.25,0
2024-03-18 13:56:00+08:00,16762.08984375,16770.609375,16762.08984375,16770.609375,16770.609375,0
2024-03-18 13:57:00+08:00,16769.009765625,16774.060546875,16766.41015625,16768.560546875,16768.560546875,0
2024-03-18 13:58:00+08:00,16768.400390625,16770.310546875,16765.69921875,16769.5,16769.5,0
2024-03-18 13:59:00+08:00,16769.099609375,16771.939453125,16764.609375,16768.279296875,16768.279296875,0
2024-03-18 14:00:00+08:00,16768.4609375,16776.109375,16767.220703125,16776.0703125,16776.0703125,0
2024-03-18 14:01:00+08:00,16775.640625,16777.26953125,16767.859375,16771.98046875,16771.98046875,0
2024-03-18 14:02:00+08:00,16771.189453125,16777.19921875,16771.189453125,16775.109375,16775.109375,0
2024-03-18 14:03:00+08:00,16773.900390625,16784.630859375,16772.419921875,16778.529296875,16778.529296875,0
2024-03-18 14:04:00+08:00,16778.310546875,16780.7109375,16776.8203125,16777.140625,16777.140625,0
2024-03-18 14:05:00+08:00,16777.720703125,16779.390625,16773.69921875,16776.0,16776.0,0
2024-03-18 14:06:00+08:00,16774.099609375,16776.5,16771.859375,16774.76953125,16774.76953125,0
2024-03-18 14:07:00+08:00,16774.2890625,16776.640625,16771.9609375,16771.9609375,16771.9609375,0
2024-03-18 14:08:00+08:00,16772.8203125,16776.259765625,16772.8203125,16776.259765625,16776.259765625,0
2024-03-18 14:09:00+08:00,16777.08984375,16779.279296875,16774.439453125,16774.69921875,16774.69921875,0
2024-03-18 14:10:00+08:00,16775.8203125,16776.359375,16774.439453125,16776.359375,16776.359375,0
2024-03-18 14:11:00+08:00,16776.3203125,16776.720703125,16773.779296875,16774.279296875,16774.279296875,0
2024-03-18 14:12:00+08:00,16767.140625,16771.7890625,16767.140625,16771.7890625,16771.7890625,0
2024-03-18 14:13:00+08:00,16772.44921875,16775.529296875,16769.169921875,16772.98046875,16772.98046875,0
2024-03-18 14:14:00+08:00,16773.109375,16773.150390625,16765.75,16767.83984375,16767.83984375,0
2024-03-18 14:15:00+08:00,16769.16015625,16773.08984375,16767.380859375,16769.130859375,16769.130859375,0
2024-03-18 14:16:00+08:00,16767.73046875,16770.359375,16759.849609375,16759.849609375,16759.849609375,0
2024-03-18 14:17:00+08:00,16759.880859375,16762.16015625,16754.08984375,16755.169921875,16755.169921875,0
2024-03-18 14:18:00+08:00,16755.279296875,16757.5390625,16752.470703125,16755.16015625,16755.16015625,0
2024-03-18 14:19:00+08:00,16753.5,16760.150390625,16753.5,16756.619140625,16756.619140625,0
2024-03-18 14:20:00+08:00,16758.9296875,16760.26953125,16755.259765625,16757.060546875,16757.060546875,0
2024-03-18 14:21:00+08:00,16757.05078125,16759.220703125,16754.900390625,16756.109375,16756.109375,0
